No.,APELLIDO,USUARIO,NOMBRE,EQUIPO,MAIL,DEPARTAMENTO,,DESCRIPCION,PRDESARROLLO,CARPETA PRIVADA,CONEXIONES,PASSWORD,CAMBIAR INICIO SESION,ARCHIVO INICIO SESIÓN,ACCESO,,,OU,,,
18,BIOSCA FONTANET,JORDI,BIFJORDI,logistica6,logistica6@thefinaldomain.com,LOGISTICA,User_,User_logistica6,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica6,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BIFJORDI Goto LOGISTICA,PC1,
19,ZAFRA FIGULS,DOUNYA,ZAFDOUNYA,logistica7,logistica7@thefinaldomain.com,LOGISTICA,User_,User_logistica7,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica7,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ZAFDOUNYA Goto LOGISTICA,PC1,
20,ALEU ICART,JULIO,ALIJULIO,logistica8,logistica8@thefinaldomain.com,LOGISTICA,User_,User_logistica8,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica8,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALIJULIO Goto LOGISTICA,PC1,
21,BADIA TORNE,ANDREU,BATANDREU,logistica9,logistica9@thefinaldomain.com,LOGISTICA,User_,User_logistica9,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica9,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BATANDREU Goto LOGISTICA,PC1,
22,MORALES GESE,RAMON,MOGRAMON,logistica10,logistica10@thefinaldomain.com,LOGISTICA,User_,User_logistica10,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica10,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==MOGRAMON Goto LOGISTICA,PC1,
23,BLANCO FONTANET,DAVID-JESE,BLFDAVID-JESE,logistica11,logistica11@thefinaldomain.com,LOGISTICA,User_,User_logistica11,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica11,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BLFDAVID-JESE Goto LOGISTICA,PC1,
24,ALVAREZ FERNANDEZ,ARAN,ALFARAN,logistica12,logistica12@thefinaldomain.com,LOGISTICA,User_,User_logistica12,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica12,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALFARAN Goto LOGISTICA,PC1,
25,GARCIA ALMOGUERA,GEMMA,GAAGEMMA,logistica13,logistica13@thefinaldomain.com,LOGISTICA,User_,User_logistica13,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica13,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==GAAGEMMA Goto LOGISTICA,PC1,
26,LIBORI FIGUERAS,IVAN,LIFIVAN,logistica14,logistica14@thefinaldomain.com,LOGISTICA,User_,User_logistica14,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica14,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==LIFIVAN Goto LOGISTICA,PC1,
27,BIDAULT PUEYO,DAVID,BIPDAVID,logistica15,logistica15@thefinaldomain.com,LOGISTICA,User_,User_logistica15,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica15,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BIPDAVID Goto LOGISTICA,PC1,
28,BENITEZ JOSE,XAVIER,BEJXAVIER,personal1,personal1@thefinaldomain.com,PERSONAL,User_,Responsable,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal1,personal2,personal3,personal4,personal5,personal6,personal7,personal8,personal9,personal10,personal11,personal12,personal13,personal14,personal15,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BEJXAVIER Goto PERSONAL,PC1,
29,PASCUAL FLORES,MARIO,PAFMARIO,personal2,personal2@thefinaldomain.com,PERSONAL,User_,User_personal2,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal2,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==PAFMARIO Goto PERSONAL,PC1,
30,AYALA TORNE,JESUS,AYTJESUS,personal3,personal3@thefinaldomain.com,PERSONAL,User_,User_personal3,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal3,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AYTJESUS Goto PERSONAL,PC1,
31,LISTAN FIGUERAS,GEMMA,LIFGEMMA,personal4,personal4@thefinaldomain.com,PERSONAL,User_,User_personal4,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal4,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==LIFGEMMA Goto PERSONAL,PC1,
32,RASERO GAVILAN,SILVIA,RAGSILVIA,personal5,personal5@thefinaldomain.com,PERSONAL,User_,User_personal5,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal5,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RAGSILVIA Goto PERSONAL,PC1,
33,ARNALOT PUIG,ALBERT,ARPALBERT,personal6,personal6@thefinaldomain.com,PERSONAL,User_,User_personal6,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal6,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARPALBERT Goto PERSONAL,PC1,
34,MOLINER GARRIDO,MARIA,MOGMARIA,personal7,personal7@thefinaldomain.com,PERSONAL,User_,User_personal7,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal7,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==MOGMARIA Goto PERSONAL,PC1,
35,GALOBART GARCIA,BERTA,GAGBERTA,personal8,personal8@thefinaldomain.com,PERSONAL,User_,User_personal8,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal8,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==GAGBERTA Goto PERSONAL,PC1,
36,LOPEZ GARRIGASSAIT,BERTA,LOGBERTA,personal9,personal9@thefinaldomain.com,PERSONAL,User_,User_personal9,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal9,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==LOGBERTA Goto PERSONAL,PC1,
37,SANCHEZ GOMEZ,MIREIA,SAGMIREIA,personal10,personal10@thefinaldomain.com,PERSONAL,User_,User_personal10,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal10,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==SAGMIREIA Goto PERSONAL,PC1,
38,ALAVEDRA SUNYE,GEMMA,ALSUGEMMA,personal11,personal11@thefinaldomain.com,PERSONAL,User_,User_personal11,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal11,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALSUGEMMA Goto PERSONAL,PC1,
39,ALIGUE BONVEHI,MARIA ISABEL,ALBMARIA ISABEL,personal12,personal12@thefinaldomain.com,PERSONAL,User_,User_personal12,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal12,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALBMARIA ISABEL Goto PERSONAL,PC1,
40,MAS FRANCH,TONI,MAFTONI,personal13,personal13@thefinaldomain.com,PERSONAL,User_,User_personal13,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal13,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==MAFTONI Goto PERSONAL,PC1,
41,ALOY COMPTE,ALEJANDRO,ALCALEJANDRO,personal14,personal14@thefinaldomain.com,PERSONAL,User_,User_personal14,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal14,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALCALEJANDRO Goto PERSONAL,PC1,
42,ASENSIO VEGA,JOAN MARTI,ASVJOAN MARTI,personal15,personal15@thefinaldomain.com,PERSONAL,User_,User_personal15,,si,"GENERAL, PRIVADA, PERSONAL",Itep@1234,si,si,"personal15,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PERSONAL,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ASVJOAN MARTI Goto PERSONAL,PC1,
43,BIDAULT PEREZ,INGRID,BIPINGRID,desarrollo1,desarrollo1@thefinaldomain.com,DESARROLLO,User_,Director,DIRECTOR,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo1,desarrollo3,desarrollo4,desarrollo5,desarrollo2,desarrollo3,desarrollo4,desarrollo5,desarrollo6,desarrollo7,desarrollo8,desarrollo9,desarrollo10,desarrollo11,desarrollo12,desarrollo13,desarrollo14,desarrollo15,desarrollo16,desarrollo17,desarrollo18,desarrollo19,desarrollo20,desarrollo21,desarrollo22,desarrollo23,desarrollo24,desarrollo25,desarrollo26,desarrollo27,desarrollo28,desarrollo29,desarrollo30,desarrollo31,desarrollo32,desarrollo33,desarrollo34,desarrollo35,desarrollo36,desarrollo37,desarrollo38,desarrollo39,desarrollo40,desarrollo41,desarrollo42,desarrollo43,desarrollo44,desarrollo45,desarrollo46,desarrollo47,desarrollo48,desarrollo49,desarrollo50,desarrollo51,desarrollo52,desarrollo53,desarrollo54,desarrollo55,desarrollo56,desarrollo57,desarrollo58,desarrollo59,desarrollo60,desarrollo61,desarrollo62,desarrollo63,desarrollo64,desarrollo65,desarrollo66,desarrollo67,desarrollo68,desarrollo69,desarrollo70,desarrollo71,desarrollo72,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=DIRECTOR,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BIPINGRID Goto DIRECTOR,PC1,
44,ALOY CODINACHS,OLIVER,ALCOLIVER,desarrollo2,desarrollo2@thefinaldomain.com,DESARROLLO,User_,Jefe_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo2,desarrollo3,desarrollo4,desarrollo5,desarrollo6,desarrollo7,desarrollo8,desarrollo9,desarrollo10,desarrollo11,desarrollo12,desarrollo13,desarrollo14,desarrollo15,desarrollo16,desarrollo17,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALCOLIVER Goto PROYECTO-1,PC1,
45,ALTIMIRAS ARMENTEROS,SANDRA,ALASANDRA,desarrollo3,desarrollo3@thefinaldomain.com,DESARROLLO,User_,Jefe_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"Desarrollo3,desarrollo18,desarrollo19,desarrollo20,desarrollo21,desarrollo22,desarrollo23,desarrollo24,desarrollo25,desarrollo26,desarrollo27,desarrollo28,desarrollo29,desarrollo30,desarrollo31,desarrollo32,desarrollo33,desarrollo34,desarrollo35,desarrollo36,desarrollo37,desarrollo38,desarrollo39,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALASANDRA Goto PROYECTO-2,PC1,
46,BELMONTE SANCHEZ,JORDI,BESJORDI,desarrollo4,desarrollo4@thefinaldomain.com,DESARROLLO,User_,Jefe_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo4,desarrollo40,desarrollo41,desarrollo42,desarrollo43,desarrollo44,desarrollo45,desarrollo46,desarrollo47,desarrollo48,desarrollo49,desarrollo50,desarrollo51,desarrollo52,desarrollo53,desarrollo54,desarrollo55,desarrollo56,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BESJORDI Goto PROYECTO-3,PC1,
47,BAJONA GARCIA,MARC,BAGMARC,desarrollo5,desarrollo5@thefinaldomain.com,DESARROLLO,User_,Jefe_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo5,desarrollo57,desarrollo58,desarrollo59,desarrollo60,desarrollo61,desarrollo62,desarrollo63,desarrollo64,desarrollo65,desarrollo66,desarrollo67,desarrollo68,desarrollo69,desarrollo70,desarrollo71,desarrollo72,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAGMARC Goto PROYECTO-4,PC1,
48,AGUILAR RODRIGUEZ,JORDINA,AGRJORDINA,desarrollo6,desarrollo6@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo6,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGRJORDINA Goto PROYECTO-1,PC1,
49,BARRIGA SOTO,MARIA JOSE,BASMARIA JOSE,desarrollo7,desarrollo7@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo7,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BASMARIA JOSE Goto PROYECTO-1,PC1,
50,AVILA MASJUAN,RAQUEL,AVMRAQUEL,desarrollo8,desarrollo8@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo8,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AVMRAQUEL Goto PROYECTO-1,PC1,
51,PARRAMON FLORES,ENRIC,PAFENRIC,desarrollo9,desarrollo9@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo9,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==PAFENRIC Goto PROYECTO-1,PC1,
52,AGUILAR RAMOS,MARTA,AGRMARTA,desarrollo10,desarrollo10@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo10,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGRMARTA Goto PROYECTO-1,PC1,
53,AYALA ALSINA,CARLA,AYACARLA,desarrollo11,desarrollo11@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo11,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AYACARLA Goto PROYECTO-1,PC1,
54,ALVAREZ TROYANO,MARIA NOELIA,ALTMARIA NOELIA,desarrollo12,desarrollo12@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo12,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALTMARIA NOELIA Goto PROYECTO-1,PC1,
